,ID,keyword,weight
0,14,訂閱,0.7969845001933333
1,14,pandapro,0.7969845001933333
2,14,重複,0.7969845001933333
3,14,訂購,0.7969845001933333
4,14,餐點,0.7969845001933333
0,15,下定決心,3.9849225009666664
1,15,熊貓,3.9849225009666664
2,15,告別,3.9849225009666664
0,16,手機號碼,4.78190700116
1,16,登陸,4.78190700116
2,16,顯示,2.39095350058
0,17,平台,6.24434048555
0,18,訂閱,1.7078239289857142
1,18,會員,1.7078239289857142
2,18,失敗,1.7078239289857142
3,18,遭後台,1.7078239289857142
4,18,工程師,1.7078239289857142
0,19,開始,2.988691875725
1,19,有夠,2.988691875725
2,19,韭菜,2.2782964772975
3,19,垃圾,1.997470251985
0,20,差勁,3.9849225009666664
1,20,外送員,3.9849225009666664
2,20,拒絕往來,3.9849225009666664
0,21,破幹,5.97738375145
1,21,公司,1.75173497179
0,22,連續,0.597738375145
1,22,兩天,0.597738375145
2,22,點餐,0.597738375145
3,22,多爛,0.597738375145
4,22,pro,0.597738375145
0,23,重複,2.39095350058
1,23,處理,2.39095350058
2,23,扣款,2.3005564758399997
3,23,敷衍,1.755342734514
4,23,客服,1.733913807024
0,24,單方面,1.0867970457181817
1,24,更動,1.0867970457181817
2,24,合約,1.0867970457181817
3,24,還好,1.0867970457181817
4,24,馬上,1.0867970457181817
0,25,刪除,0.6766849529943396
1,25,熊貓,0.4511233019962264
2,25,等到,0.250176192969434
3,25,平台,0.23563549002075473
4,25,2022,0.2255616509981132
0,26,時間,0.7969845001933333
1,26,時段,0.7969845001933333
2,26,接單,0.7969845001933333
3,26,餐點,0.39849225009666667
4,26,到達,0.39849225009666667
0,27,詳細,1.7078239289857142
1,27,無法,1.7078239289857142
2,27,正確,1.7078239289857142
3,27,編輯,1.7078239289857142
4,27,十次,1.4907059641714286
0,28,餐點,1.0867970457181817
1,28,評價,1.0867970457181817
2,28,無法,1.0867970457181817
3,28,呈現,1.0867970457181817
4,28,亂碼,1.0867970457181817
0,29,發票,1.4943459378625
1,29,載具,0.9962306252416666
2,29,系統,0.9962306252416666
3,29,一顆,0.4981153126208333
4,29,沒有,0.4981153126208333
0,30,已付,1.9924612504833332
1,30,月費,1.9924612504833332
2,30,什麼,1.9924612504833332
3,30,還要,1.9924612504833332
4,30,平台,1.0407234142583335
0,31,介面,0.7337516928555555
1,31,運費,0.6641537501611111
2,31,被扣,0.5780094494722222
3,31,訂閱,0.33207687508055556
4,31,已經,0.33207687508055556
0,32,什麼,0.6766849529943396
1,32,地址,0.5790314451607548
2,32,備註,0.4511233019962264
3,32,還怪,0.4511233019962264
4,32,餐點,0.4511233019962264
0,33,無法,5.97738375145
1,33,品價,5.97738375145
0,34,點個,2.39095350058
1,34,兩個,2.39095350058
2,34,小時,2.39095350058
3,34,田裡,2.39095350058
4,34,是不是,1.170761628204
0,35,移除,1.5364049674375
1,35,聽說,1.4943459378625
2,35,加錢,1.4943459378625
3,35,剝削,1.4943459378625
4,35,那先,1.4943459378625
0,36,開始,0.9962306252416666
1,36,訂閱,0.9962306252416666
2,36,Pro,0.9962306252416666
3,36,會員,0.9962306252416666
4,36,也還,0.9962306252416666
0,37,外賣,1.7078239289857142
1,37,時間,1.7078239289857142
2,37,有夠,1.7078239289857142
3,37,一個,1.7078239289857142
4,37,訂單,1.7078239289857142
0,38,外送費,0.9195975002230768
1,38,200,0.9195975002230768
2,38,90,0.9195975002230768
3,38,這樣,0.9195975002230768
4,38,順利,0.9195975002230768
0,39,地標,1.9924612504833332
1,39,導致,1.9924612504833332
2,39,外送員,1.9924612504833332
3,39,好久,1.41633337835
4,39,不好,0.9451944221683334
0,40,平台,0.5352291844757143
1,40,難看,0.34156478579714283
2,40,年費,0.34156478579714283
3,40,雖然,0.34156478579714283
4,40,那麼,0.34156478579714283
0,41,生鮮,1.19547675029
1,41,雜貨,1.19547675029
2,41,開放,1.19547675029
3,41,貨到付款,1.19547675029
4,41,很爛,1.19547675029
0,42,不要臉,2.988691875725
1,42,加收,2.579289678375
2,42,每次,1.655512177415
3,42,平台,1.5610851213875
0,43,App,0.9962306252416666
1,43,空間,0.9962306252416666
2,43,餐廳,0.9962306252416666
3,43,超差,0.9962306252416666
4,43,輸入,0.9962306252416666
0,44,so,0.74717296893125
1,44,user,0.74717296893125
2,44,friendly,0.74717296893125
3,44,non,0.74717296893125
4,44,speaking,0.74717296893125
0,45,現場,0.9962306252416666
1,45,100,0.9962306252416666
2,45,外送,0.9962306252416666
3,45,140,0.9962306252416666
4,45,餐廳,0.9962306252416666
0,46,送錯,0.9195975002230768
1,46,餐點,0.9195975002230768
2,46,反應,0.9195975002230768
3,46,沒有,0.9195975002230768
4,46,即時,0.9195975002230768
0,47,外送,2.988691875725
1,47,人員,2.988691875725
2,47,挑選,2.988691875725
3,47,需要,1.086120160875
0,48,你們,1.0867970457181817
1,48,沒有,0.7245313638121211
2,48,系統,0.7245313638121211
3,48,怎麼,0.36226568190606057
4,48,資訊,0.36226568190606057
0,49,增加,1.7148745453424998
1,49,訂單,1.4943459378625
2,49,利潤,1.4943459378625
3,49,額外,1.4943459378625
4,49,費用,1.4943459378625
0,50,會員,1.7078239289857142
1,50,然後,1.7078239289857142
2,50,下訂,1.7078239289857142
3,50,還要,1.7078239289857142
4,50,不合理,1.1029515711885713
0,51,另付,2.0857305484833333
1,51,什麼,1.9924612504833332
